PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Santos, Ane C. C.; Cristaldo, Paulo F.; Araujo, Ana P. A.; Melo, Carlisson R.; Lima, Ana P. S.; Santana, Emile D. R.; de Oliveira, Bruna M. S.; Oliveira, Jose W. S.; Vieira, Jodnes S.; Blank, Arie F.; Bacci, Leandro								Apis mellifera (Insecta: Hymenoptera) in the target of neonicotinoids: A one-way ticket? Bioinsecticides can be an alternative								ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY				163				28	36		10.1016/j.ecoenv.2018.07.048			NOV 15 2018	2018										0							WOS:000443104400004		
J	Croft, Simon; Brown, Mike; Wilkins, Selwyn; Hart, Andy; Smith, Graham C.								Evaluating European Food Safety Authority Protection Goals for Honeybees (Apis mellifera): What Do They Mean for Pollination?								INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT				14	6			750	758		10.1002/ieam.4078			NOV 2018	2018										0							WOS:000447287300008		
J	Gregore, Ales; Alburaki, Mohamed; Rinderer, Nicholas; Sampson, Blair; Knight, Patricia R.; Karim, Shahid; Adamczyk, John								Effects of coumaphos and imidacloprid on honey bee (Hymenoptera: Apidae) lifespan and antioxidant gene regulations in laboratory experiments								SCIENTIFIC REPORTS				8						15003	10.1038/s41598-018-33348-4			OCT 9 2018	2018										0							WOS:000446802800009		
J	Wang, Kang; Fan, Rong-Li; Ji, Wen-Na; Zhang, Wen-Wen; Chen, Xiao-Mei; Wang, Shuang; Yin, Ling; Gao, Fu-Chao; Chen, Guo-Hong; Ji, Ting								Transcriptome Analysis of Newly Emerged Honeybees Exposure to Sublethal Carbendazim During Larva Stage								FRONTIERS IN GENETICS				9						426	10.3389/fgene.2018.00426			OCT 8 2018	2018										0							WOS:000446619100001		
J	Rodriguez-Garcia, Cristina; Evans, Jay D.; Li, Wenfeng; Branchiccela, Belen; Li, Jiang Hong; Heerman, Matthew C.; Banmeke, Olubukola; Zhao, Yazhou; Hamilton, Michele; Higes, Mariano; Martin-Hernandez, Raquel; Chen, Yan Ping								Nosemosis control in European honey bees, Apis mellifera, by silencing the gene encoding Nosema ceranae polar tube protein 3								JOURNAL OF EXPERIMENTAL BIOLOGY				221	19					UNSP jeb184606	10.1242/jeb.184606			OCT 2018	2018										0							WOS:000447340900017		
J	Yang, Dahe; Xu, Xiang; Zhao, Hongxia; Yang, Sa; Wang, Xinling; Zhao, Di; Diao, Qingyun; Hou, Chunsheng								Diverse Factors Affecting Efficiency of RNAi in Honey Bee Viruses								FRONTIERS IN GENETICS				9						384	10.3389/fgene.2018.00384			SEP 11 2018	2018										0							WOS:000444350700001		
J	Hoshide, Aaron K.; Drummond, Francis A.; Stevens, Thomas H.; Venturini, Eric M.; Hanes, Samuel P.; Sylvia, Martha M.; Loftin, Cynthia S.; Yarborough, David E.; Averill, Anne L.								What Is the Value of Wild Bee Pollination for Wild Blueberries and Cranberries, and Who Values It?								ENVIRONMENTS				5	9					98	10.3390/environments5090098			SEP 2018	2018										0							WOS:000448397400005		
J	Lopez-Fernandez, Luis; Laguela, Susana; Rodriguez-Gonzalvez, Pablo; Antonio Martin-Jimenez, Jose; Gonzalez-Aguilera, Diego								Close-Range Photogrammetry and Infrared Imaging for Non-Invasive Honeybee Hive Population Assessment								ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION				7	9					350	10.3390/ijgi7090350			SEP 2018	2018										0							WOS:000445767900018		
J	de Morais, Cassio Resende; Nassif Travencolo, Bruno Augusto; Carvalho, Stephan Malfitano; Beletti, Marcelo Emilio; Vieira Santos, Vanessa Santana; Campos, Carlos Fernando; de Campos Junior, Edimar Olegario; Pereira, Boscolli Barbosa; Carvalho Naves, Maria Paula; Alves de Rezende, Alexandre Azenha; Spano, Mario Antonio; Vieira, Carlos Ueira; Bonetti, Ana Maria								Ecotoxicological effects of the insecticide fipronil in Brazilian native stingless bees Melipona scutellaris (Apidae: Meliponini)								CHEMOSPHERE				206				632	642		10.1016/j.chemosphere.2018.04.153			SEP 2018	2018										0							WOS:000436215600071		
J	Blighe, K.; DeDionisio, L.; Christie, K. A.; Chawes, B.; Shareef, S.; Kakouli-Duarte, T.; Chao-Shern, C.; Harding, V.; Kelly, R. S.; Castellano, L.; Stebbing, J.; Lasky-Su, J. A.; Nesbit, M. A.; Moore, C. B. T.								Gene editing in the context of an increasingly complex genome								BMC GENOMICS				19						595	10.1186/s12864-018-4963-8			AUG 8 2018	2018										0							WOS:000441224200001		
J	Pagano, Giovanni; Johnson, Casey; Hahn, D. Caldwell; Arsenault, Ryan J.								A new tool for studying waterfowl immune and metabolic responses: Molecular level analysis using kinome profiling								ECOLOGY AND EVOLUTION				8	16			8537	8546		10.1002/ece3.4370			AUG 2018	2018										0							WOS:000444946300063		
J	McMenamin, Alexander J.; Daughenbaugh, Katie F.; Parekh, Fenali; Pizzorno, Marie C.; Flenniken, Michelle L.								Honey Bee and Bumble Bee Antiviral Defense								VIRUSES-BASEL				10	8					395	10.3390/v10080395			AUG 2018	2018										1							WOS:000443619600006		
J	Diao, Qingyun; Li, Beibei; Zhao, Hongxia; Wu, Yanyan; Guo, Rui; Dai, Pingli; Chen, Dafu; Wang, Qiang; Hou, Chunsheng								Enhancement of chronic bee paralysis virus levels in honeybees acute exposed to imidacloprid: A Chinese case study								SCIENCE OF THE TOTAL ENVIRONMENT				630				487	494		10.1016/j.scitotenv.2018.02.258			JUL 15 2018	2018										0							WOS:000432467700050		
J	Odemer, Richard; Nilles, Lisa; Linder, Nadine; Rosenkranz, Peter								Sublethal effects of clothianidin and Nosema spp. on the longevity and foraging activity of free flying honey bees								ECOTOXICOLOGY				27	5			527	538		10.1007/s10646-018-1925-5			JUL 2018	2018										0							WOS:000435835700004		
J	Rhodes, Christopher J.								Pollinator decline - an ecological calamity in the making?								SCIENCE PROGRESS				101	2			121	160		10.3184/003685018X15202512854527			JUN 2018	2018										1							WOS:000442144100002		
J	Munoz-Capponi, Edgardo A.; Silva-Aguayo, Gonzalo; Concepcion Rodriguez-Maciel, J.; Rondanelli-Reyes, Mauricio J.								Sublethal exposure to fipronil affects the morphology and development of honey bees, Apis mellifera								BULLETIN OF INSECTOLOGY				71	1			121	130					JUN 2018	2018										0							WOS:000430811100016		
J	Donkersley, Philip; Rhodes, Glenn; Pickup, Roger W.; Jones, Kevin C.; Wilson, Kenneth								Bacterial communities associated with honeybee food stores are correlated with land use								ECOLOGY AND EVOLUTION				8	10			4743	4756		10.1002/ece3.3999			MAY 2018	2018										1							WOS:000434093100002		
J	Leonard, Sean P.; Perutka, Jiri; Powell, J. Elijah; Geng, Peng; Richhart, Darby D.; Byrom, Michelle; Kar, Shaunak; Davies, Bryan W.; Ellington, Andrew D.; Moran, Nancy A.; Barrick, Jeffrey E.								Genetic Engineering of Bee Gut Microbiome Bacteria with a Toolkit for Modular Assembly of Broad-Host-Range Plasmids								ACS SYNTHETIC BIOLOGY				7	5			1279	1290		10.1021/acssynbio.7b00399			MAY 2018	2018										1							WOS:000432901300013		
J	Veach, Brian T.; Anglin, Renea; Mudalige, Thilak K.; Barnes, Paula J.								Quantitation and Confirmation of Chloramphenicol, Florfenicol, and Nitrofuran Metabolites in Honey Using LC-MS/MS								JOURNAL OF AOAC INTERNATIONAL				101	3			897	903		10.5740/jaoacint.17-0262			MAY-JUN 2018	2018										0							WOS:000431471000037		
J	Li, Guilin; Zhao, Hang; Liu, Zhenguo; Wang, Hongfang; Xu, Baohua; Guo, Xingqi								The Wisdom of Honeybee Defenses Against Environmental Stresses								FRONTIERS IN MICROBIOLOGY				9						722	10.3389/fmicb.2018.00722			MAY 1 2018	2018										1							WOS:000431139000001		
J	Daisley, Brendan A.; Trinder, Mark; McDowell, Tim W.; Collins, Stephanie L.; Sumarah, Mark W.; Reid, Gregor								Microbiota-Mediated Modulation of Organophosphate Insecticide Toxicity by Species-Dependent Interactions with Lactobacilli in a Drosophila melanogaster Insect Model								APPLIED AND ENVIRONMENTAL MICROBIOLOGY				84	9					UNSP e02820-17	10.1128/AEM.02820-17			MAY 2018	2018										0							WOS:000430339900029		
J	McMenamin, Alexander J.; Flenniken, Michelle L.								Recently identified bee viruses and their impact on bee pollinators								CURRENT OPINION IN INSECT SCIENCE				26				120	129		10.1016/j.cois.2018.02.009			APR 2018	2018										1							WOS:000432522700019		
J	Bovi, Thais S.; Zaluski, Rodrigo; Orsi, Ricardo O.								Toxicity and motor changes in Africanized honey bees (Apis mellifera L.) exposed to fipronil and imidacloprid								ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS				90	1			239	245		10.1590/0001-3765201820150191			MAR 2018	2018										1							WOS:000429682000023		
J	Simone-Finstrom, Michael; Aronstein, Kate; Goblirsch, Michael; Rinkevich, Frank; de Guzman, Lilia								Gamma irradiation inactivates honey bee fungal, microsporidian, and viral pathogens and parasites								JOURNAL OF INVERTEBRATE PATHOLOGY				153				57	64		10.1016/j.jip.2018.02.011			MAR 2018	2018										0							WOS:000429892400009		
J	Zhang, Yi; Han, Richou								A Saliva Protein of Varroa Mites Contributes to the Toxicity toward Apis cerana and the DWV Elevation in A. mellifera								SCIENTIFIC REPORTS				8						3387	10.1038/s41598-018-21736-9			FEB 21 2018	2018										0							WOS:000425590600011		
J	Fung, Elisabeth; Hill, Kelly; Hogendoorn, Katja; Glatz, Richard V.; Napier, Kathryn R.; Bellgard, Matthew I.; Barrero, Roberto A.								De novo assembly of honey bee RNA viral genomes by tapping into the innate insect antiviral response pathway								JOURNAL OF INVERTEBRATE PATHOLOGY				152				38	47		10.1016/j.jip.2018.01.002			FEB 2018	2018										2							WOS:000426335500007		
J	Wilson, Houston; Wong, Jessica S.; Thorp, Robbin W.; Miles, Albie F.; Daane, Kent M.; Altieri, Miguel A.								Summer Flowering Cover Crops Support Wild Bees in Vineyards								ENVIRONMENTAL ENTOMOLOGY				47	1			63	69		10.1093/ee/nvx197			FEB 2018	2018										1							WOS:000424914000009		
J	Haddad, Nizar; Al-Gharaibeh, Moath; Nasher, Abdullah; Anaswah, Eman; Alammari, Yaseen; Horth, Lisa								Scientific note: molecular detection of pathogens in unhealthy colonies of Apis mellifera jemenitica								APIDOLOGIE				49	1			84	88		10.1007/s13592-017-0530-6			FEB 2018	2018										1							WOS:000425637500008		
J	Goblirsch, Mike								Nosema ceranae disease of the honey bee (Apis mellifera)								APIDOLOGIE				49	1			131	150		10.1007/s13592-017-0535-1			FEB 2018	2018										1							WOS:000425637500013		
J	Alvarez, L. J.; Reynaldi, F. J.; Ramello, P. J.; Garcia, M. L. G.; Sguazza, G. H.; Abrahamovich, A. H.; Lucia, M.								Detection of honey bee viruses in Argentinian stingless bees (Hymenoptera: Apidae)								INSECTES SOCIAUX				65	1			191	197		10.1007/s00040-017-0587-2			FEB 2018	2018										0							WOS:000423831700019		
